ITALIAN,ENGLISH
e,and
non,not
che,that
di,of
la,the (feminine singular)
il,the (masculine singular)
un,a/an (masculine singular)
a,to/at
per,for
è,is
in,in
una,a/an (feminine singular)
mi,me
sono,are
ho,have
l',the (used before vowels)
si,yes
ha,has
ma,but
lo,"the (masculine singular, object pronoun)"
cosa,what
con,with
no,no
le,the (feminine plural)
ti,"you (informal, singular)"
se,if
da,from
i,the (plural)
come,how
io,I
ci,us
hai,have (you)
questo,this
bene,well
qui,here
sei,are (you)
del,of the (masculine singular)
tu,you (singular)
solo,only
mio,my (masculine singular)
al,to the/at the (masculine singular)
me,me
tutto,all/everything
c',it (used before vowels)
te,you (object pronoun)
era,was
della,of the (feminine singular)
mia,my (feminine singular)
fatto,done
fare,to do/make
essere,to be
so,know (I)
quando,when
sì,yes
ora,now
lei,she
gli,"the (plural, indirect object pronoun)"
ne,of it/them
oh,oh
questa,this (feminine singular)
detto,said
ok,ok
va,goes
perche,why/because
quello,that (masculine singular)
mai,never
alla,to the/at the (feminine singular)
o,or
anche,also
stato,state
abbiamo,have (we)
tutti,all
dei,of the (plural)
grazie,thanks
chi,who
sta,is (he/she/it)
molto,very
più,more
voglio,want (I)
perché,why/because
tuo,your (masculine singular)
beh,well
sia,is (subjunctive)
nel,in the (masculine singular)
lui,he
allora,then
posso,can (I)
piu,more
ehi,hey
prima,before
tua,your (feminine singular)
suo,his/her (masculine singular)
niente,nothing
qualcosa,something
sai,know (you)
siamo,are (we)
un',"a/an (feminine, used before vowels)"
cosi,so
davvero,really
ancora,again/still
hanno,have (they)
stai,are (you)
fa,does (he/she/it)
